,Unnamed: 0,price,year,odometer,lat,long,labels
122563,490252,8995,2010.0,128225.0,33.624454,-112.011452,0
242784,971136,11500,2011.0,189200.0,44.7169,-93.6879,0
376857,1507428,9000,2012.0,60000.0,48.5004,-122.6309,0
59508,238032,3650,2004.0,182000.0,36.07131,-80.40817,0
83141,332564,17750,2011.0,49750.0,39.422,-87.6923,0
24018,96072,14990,2013.0,68712.0,38.96537,-77.503136,0
261410,1045640,12400,2015.0,60501.0,36.50503300000001,-90.086346,0
371230,1484920,9999,2006.0,92232.0,46.553847,-120.475274,0
356222,1424888,9500,2004.0,175000.0,39.8044,-88.4494,0
377291,1509164,20607,2016.0,44126.0,46.568255,-120.485781,0
131351,525404,23795,2017.0,37337.0,36.099437,-95.884966,0
221831,887324,8000,2011.0,219913.0,43.862597,-83.966252,0
257437,1029748,30950,2016.0,18300.0,44.416005,-103.519961,0
390325,1561300,26995,2013.0,50607.0,42.4657,-93.8262,0
109432,437728,21000,2016.0,144661.0,40.833834,-81.33886700000002,0
79278,317112,6738,2010.0,134828.0,49.234133,-122.861002,0
56886,227544,9995,2013.0,128000.0,31.2885,-92.4633,0
332287,1329148,8995,2011.0,175784.0,40.842755,-96.694022,0
218463,873852,12995,2011.0,72250.0,42.870866,-85.85068100000002,0
8672,34688,8500,2006.0,116500.0,45.782369,-111.18516,0
407608,1630432,1500,2004.0,99000.0,42.6967,-87.9031,0
218867,875468,2950,2001.0,131000.0,45.3559,-84.9133,0
304174,1216696,28999,2016.0,67640.0,46.835493,-114.04456299999998,0
105346,421384,2000,1989.0,142.0,61.5923,-149.3959,0
80583,322332,11385,2011.0,46976.0,49.210684,-123.114853,0
65292,261168,3337,2002.0,201242.0,36.224576,-94.137995,0
628,2512,3000,2002.0,170000.0,42.6058,-87.8762,0
424461,1697844,14900,2014.0,74791.0,36.016477,-79.844371,0
61928,247712,2200,2009.0,193000.0,40.0086,-74.7896,0
279699,1118796,8500,2000.0,140804.0,28.549,-82.0805,0
383162,1532648,15998,2012.0,76046.0,39.83517,-86.02977,0
139635,558540,4800,2008.0,117000.0,38.6371,-76.8778,0
2776,11104,2500,1995.0,154777.0,38.221363,-77.54020600000003,0
104265,417060,43500,2016.0,9300.0,58.300091,-134.41515,0
220819,883276,65000,2017.0,16000.0,41.91082,-83.443017,0
115609,462436,3500,2006.0,193000.0,41.1404,-81.8584,0
100576,402304,29500,2008.0,18275.0,33.3813,-86.7046,0
328923,1315692,21999,2017.0,65468.0,33.111222,-82.027025,0
327685,1310740,4000,1994.0,265000.0,33.353435,-84.115,0
20086,80344,4500,2010.0,134151.0,38.0266,-78.4805,0
287459,1149836,8900,2012.0,91382.0,27.1968,-80.2538,0
384433,1537732,2800,2001.0,117000.0,36.902411,-104.437923,0
420218,1680872,6500,2004.0,153000.0,35.7313,-81.2165,0
214533,858132,9999,2013.0,102945.0,39.74012800000001,-105.050154,0
427067,1708268,17490,2015.0,35470.0,34.761705,-77.381517,0
339538,1358152,5000,1995.0,74000.0,44.5035,-73.0906,0
189784,759136,900,2003.0,143000.0,42.0287,-71.5269,0
17264,69056,900,1990.0,131000.0,49.01631,-123.091819,0
319394,1277576,8000,1956.0,170250.0,31.7677,-106.3016,0
52508,210032,32900,2017.0,17800.0,44.0223,-121.2985,0
421009,1684036,2600,1998.0,190.0,35.5336,-77.391,0
69551,278204,7900,2012.0,128367.0,34.55701,-83.76008,0
373254,1493016,6550,2006.0,122000.0,47.6501,-117.4298,0
280696,1122784,5995,2002.0,283126.0,29.650218,-81.650885,0
203186,812744,6800,2011.0,110000.0,40.042762,-75.07656,0
350155,1400620,3300,2006.0,155000.0,38.8776,-77.3885,0
130324,521296,2000,1999.0,157000.0,36.0948,-95.9655,0
52122,208488,21888,2013.0,28854.0,49.201919,-123.119445,0
348608,1394432,11990,2009.0,97875.0,38.50935,-77.37102,0
215199,860796,8990,2007.0,185886.0,39.620464,-104.989098,0
120977,483908,17300,2016.0,20300.0,32.714394,-114.624585,0
149011,596044,82491,2016.0,27598.0,45.484,-122.6365,0
13961,55844,5995,2004.0,212000.0,38.502362,-75.23745600000002,0
222205,888820,12000,1969.0,26347.0,43.0883,-86.1028,0
29008,116032,2800,2002.0,270000.0,48.748278000000006,-123.655671,0
58473,233892,5988,2008.0,117305.0,41.9293,-83.4448,0
319559,1278236,4500,2009.0,120000.0,31.7814,-106.3613,0
39917,159668,3995,2003.0,205809.0,49.22154000000001,-122.977533,0
180678,722712,6500,2002.0,190.0,37.5735,-122.0469,0
280321,1121284,8500,2004.0,174608.0,28.603664,-81.40594499999997,0
320625,1282500,2500,2005.0,237000.0,32.4441,-95.331,0
368096,1472384,17999,2015.0,19348.0,46.234838,-119.128015,0
428569,1714276,4990,2007.0,156260.0,34.283705,-77.806282,0
228157,912628,14500,2014.0,16000.0,43.210309,-86.277242,0
407372,1629488,13500,1994.0,50000.0,44.840412,-88.624992,0
74063,296252,18990,2010.0,101905.0,47.920244,-97.044974,0
90082,360328,17900,2006.0,98000.0,34.7512,-82.255,0
286182,1144728,35995,2015.0,52961.0,27.2866,-82.477,0
10811,43244,900,1999.0,200000.0,30.43417,-84.36178199999998,0
52697,210788,4000,2000.0,46365.0,30.4089,-91.0842,0
91810,367240,35890,2016.0,5922.0,49.204598,-123.139205,0
170617,682468,3500,2005.0,119000.0,33.7524,-117.9939,0
90153,360612,4200,1989.0,19000.0,41.617,-122.8832,0
409965,1639860,9000,2012.0,114000.0,44.196572,-88.44200699999998,0
232082,928328,5495,2008.0,136000.0,43.1824,-84.1122,0
414670,1658680,8440,1999.0,121744.0,44.87313,-87.89568,0
301844,1207376,8995,2008.0,209254.0,47.05485,-109.444805,0
408638,1634552,41000,2017.0,8000.0,44.580062,-88.12576800000002,0
146086,584344,2900,2007.0,120000.0,44.0682,-123.0819,0
80683,322732,42995,2017.0,21552.0,49.212803,-123.086054,0
112716,450864,5900,2000.0,416000.0,40.8477,-81.2595,0
374398,1497592,41999,2015.0,44275.0,47.206063,-122.32058700000002,0
354790,1419160,1300,1978.0,130000.0,37.4668,-89.2207,0
86988,347952,1700,1997.0,252900.0,41.633456,-84.994484,0
253671,1014684,8900,2001.0,109500.0,39.1564,-75.4955,0
370807,1483228,6998,2008.0,109000.0,48.7557,-122.448,0
182738,730952,10495,2017.0,59899.0,38.6239,-121.3837,0
205153,820612,1975,1997.0,196085.0,40.6622,-75.3903,0
409401,1637604,17000,2006.0,156737.0,43.077899,-89.37961899999998,0
